fpr tpr threshold Method Boundary
0.0 0.0 1.9999699217639482 Bayes 8
2.180121650788114e-05 0.0 0.9999699217639482 Bayes 8
0.00172229610412261 0.0 0.3932530362261326 Bayes 8
0.00172229610412261 0.00031201248049921997 0.3920895091583168 Bayes 8
0.0023763325993590443 0.00031201248049921997 0.3625170615896727 Bayes 8
0.0023763325993590443 0.0006240249609984399 0.3622350077532289 Bayes 8
0.003095772744119122 0.0006240249609984399 0.3424897081286092 Bayes 8
0.003095772744119122 0.00093603744149766 0.342418532184479 Bayes 8
0.0031829776101506466 0.00093603744149766 0.3400753514702187 Bayes 8
0.0031829776101506466 0.0012480499219968799 0.3396672686457178 Bayes 8
0.003771610455863437 0.0012480499219968799 0.3236764490731733 Bayes 8
0.003771610455863437 0.0015600624024961 0.3234753312064601 Bayes 8
0.003858815321894962 0.0015600624024961 0.3221055565869825 Bayes 8
0.003858815321894962 0.00187207488299532 0.3220056656855148 Bayes 8
0.004098628703481654 0.00187207488299532 0.3179952291619979 Bayes 8
0.004098628703481654 0.00218408736349454 0.3172421247913498 Bayes 8
0.0045128518171313955 0.00218408736349454 0.3134195346005032 Bayes 8
0.0045128518171313955 0.0024960998439937598 0.3131058272653108 Bayes 8
0.004927074930781138 0.0024960998439937598 0.304647670115082 Bayes 8
0.004927074930781138 0.0028081123244929796 0.3044416477746389 Bayes 8
0.004948876147289019 0.0028081123244929796 0.3041212862860062 Bayes 8
0.004948876147289019 0.0031201248049922 0.303639399348741 Bayes 8
0.005014279796812662 0.0031201248049922 0.3030434707545151 Bayes 8
0.005014279796812662 0.0034321372854914196 0.303040939966281 Bayes 8
0.006474961302840698 0.0034321372854914196 0.2829203751257556 Bayes 8
0.006474961302840698 0.00374414976599064 0.2827276494819845 Bayes 8
0.0066275698183958665 0.00374414976599064 0.281920508665823 Bayes 8
0.0066275698183958665 0.004056162246489859 0.2817672397337981 Bayes 8
0.006910985632998321 0.004056162246489859 0.2797068623814587 Bayes 8
0.006910985632998321 0.00436817472698908 0.2796123137727445 Bayes 8
0.007761233076805686 0.00436817472698908 0.2746108583670837 Bayes 8
0.007761233076805686 0.0046801872074883 0.274373149312059 Bayes 8
0.00841526957204212 0.0046801872074883 0.2714486765291913 Bayes 8
