fpr tpr threshold Method
0.0 0.0 1.9999932861478835 Bayes
2.286498227963873e-05 0.0 0.9999932861478835 Bayes
0.0002057848405167486 0.0 0.9799318338438859 Bayes
0.0002057848405167486 0.0010084033613445378 0.9250724477389715 Bayes
0.0008231393620669944 0.0010084033613445378 0.8170304158537355 Bayes
0.0008231393620669944 0.0013445378151260505 0.8164182580211173 Bayes
0.0008688693266262719 0.0013445378151260505 0.8136617177818473 Bayes
0.0008688693266262719 0.0016806722689075631 0.8110672308599006 Bayes
0.0009145992911855493 0.0016806722689075631 0.8017032042004779 Bayes
0.0009145992911855493 0.0020168067226890756 0.7987260524236638 Bayes
0.0009831942380244655 0.0020168067226890756 0.7912567618551042 Bayes
0.0009831942380244655 0.002352941176470588 0.7909986079047037 Bayes
0.0010517891848633818 0.002352941176470588 0.7890726897519389 Bayes
0.0010517891848633818 0.002689075630252101 0.7887773682848497 Bayes
0.001120384131702298 0.002689075630252101 0.7860274432972248 Bayes
0.001120384131702298 0.0030252100840336134 0.7850954537252169 Bayes
0.0012118440608208528 0.0030252100840336134 0.7813788502993907 Bayes
0.0012118440608208528 0.0033613445378151263 0.7812388570032942 Bayes
0.001280439007659769 0.0033613445378151263 0.7773265295867314 Bayes
0.001280439007659769 0.0036974789915966387 0.7770323215795353 Bayes
0.0016691437064136276 0.0036974789915966387 0.7623140809804411 Bayes
0.0016691437064136276 0.004033613445378151 0.761468476892566 Bayes
0.0018520635646507373 0.004033613445378151 0.7572105846470782 Bayes
0.0018520635646507373 0.004369747899159664 0.75705124731907 Bayes
0.0022179032811249573 0.004369747899159664 0.7432059831089605 Bayes
0.0022179032811249573 0.005042016806722689 0.7397849431569209 Bayes
0.002492283068480622 0.005042016806722689 0.7311223195781118 Bayes
0.002492283068480622 0.005378151260504202 0.7293220244578908 Bayes
0.0026066079798788156 0.005378151260504202 0.7207116619257687 Bayes
0.0026066079798788156 0.005714285714285714 0.7201790063038902 Bayes
0.0027895278381159256 0.005714285714285714 0.7159396827236862 Bayes
0.0027895278381159256 0.006050420168067227 0.7152961708154992 Bayes
0.00306390762547159 0.006050420168067227 0.7110125979810452 Bayes
0.00306390762547159 0.006386554621848739 0.7104443828698663 Bayes
0.0034068823596661714 0.006386554621848739 0.7016325390978212 Bayes
0.0034068823596661714 0.0067226890756302525 0.7013786426843281 Bayes
0.003749857093860752 0.0067226890756302525 0.6900676707003746 Bayes
0.003749857093860752 0.007058823529411765 0.6881310102638636 Bayes
0.003932776952097862 0.007058823529411765 0.6818695372529298 Bayes
0.003932776952097862 0.007394957983193277 0.6816574811535483 Bayes
0.004092831828055333 0.007394957983193277 0.6767543186702861 Bayes
0.004092831828055333 0.00773109243697479 0.6741778892704356 Bayes
0.0047330513318852175 0.00773109243697479 0.653678454515248 Bayes
0.0047330513318852175 0.008403361344537815 0.6528429666414646 Bayes
0.004778781296444495 0.008403361344537815 0.6513001157541691 Bayes
0.004778781296444495 0.008739495798319327 0.6507906064925318 Bayes
0.004938836172401966 0.008739495798319327 0.6466969351267076 Bayes
0.004938836172401966 0.00907563025210084 0.6449876710462187 Bayes
0.005121756030639076 0.00907563025210084 0.642252111008311 Bayes
0.005121756030639076 0.009411764705882352 0.6421152455266985 Bayes
0.005327540871155825 0.009411764705882352 0.6385619056031697 Bayes
0.005327540871155825 0.009747899159663866 0.6383660931173606 Bayes
0.005510460729392935 0.009747899159663866 0.6330964899640819 Bayes
0.005510460729392935 0.010756302521008404 0.6324448401313587 Bayes
0.006539384931976678 0.010756302521008404 0.6111333732117814 Bayes
0.006539384931976678 0.011428571428571429 0.6096403770229284 Bayes
0.006905224648450898 0.011428571428571429 0.6051769203421642 Bayes
0.006905224648450898 0.012100840336134453 0.604664137394429 Bayes
0.007545444152280782 0.012100840336134453 0.5926966706830646 Bayes
0.007545444152280782 0.012436974789915966 0.5925445545729353 Bayes
0.008071338744712473 0.012436974789915966 0.5842455878932011 Bayes
0.008071338744712473 0.012773109243697478 0.583988807659711 Bayes
0.008185663656110667 0.012773109243697478 0.5821869653493683 Bayes
0.008185663656110667 0.01310924369747899 0.5820336320317453 Bayes
0.008528638390305248 0.01310924369747899 0.5776481522046782 Bayes
0.008528638390305248 0.013445378151260505 0.5772292113690006 Bayes
0.009466102663770435 0.013445378151260505 0.5640802670144445 Bayes
0.009466102663770435 0.013781512605042017 0.5640685277949685 Bayes
0.009534697610609351 0.013781512605042017 0.5627358704705071 Bayes
0.009534697610609351 0.01411764705882353 0.5627274371156478 Bayes
0.009969132273922487 0.01411764705882353 0.558761147804208 Bayes
0.009969132273922487 0.014453781512605042 0.5587031564071402 Bayes
0.01065508174231165 0.014453781512605042 0.5503640625626959 Bayes
0.01065508174231165 0.014789915966386555 0.5503512270144533 Bayes
0.010792271635989482 0.014789915966386555 0.5484803284116617 Bayes
0.010792271635989482 0.015126050420168067 0.5484117369506344 Bayes
0.011089516405624786 0.015126050420168067 0.543718095447364 Bayes
0.011089516405624786 0.01546218487394958 0.5436555285122041 Bayes
0.01120384131702298 0.01546218487394958 0.5427555675578422 Bayes
0.01120384131702298 0.015798319327731094 0.5423908237786772 Bayes
0.011295301246141535 0.015798319327731094 0.5418473763192123 Bayes
0.011295301246141535 0.016134453781512605 0.5401236564810872 Bayes
0.011363896192980451 0.016134453781512605 0.5391493163833962 Bayes
0.011363896192980451 0.01647058823529412 0.538999683739373 Bayes
0.011592546015776839 0.01647058823529412 0.5371462321374911 Bayes
0.011592546015776839 0.01680672268907563 0.53701765997434 Bayes
0.012049845661369612 0.01680672268907563 0.531587783624085 Bayes
0.012049845661369612 0.017142857142857144 0.5313816711005249 Bayes
0.01209557562592889 0.017142857142857144 0.5306500210469179 Bayes
0.01209557562592889 0.017478991596638654 0.5303968308886762 Bayes
0.012141305590488167 0.017478991596638654 0.5298295789455284 Bayes
0.012141305590488167 0.01781512605042017 0.529827072732579 Bayes
0.01225563050188636 0.01781512605042017 0.5293377866691791 Bayes
0.01225563050188636 0.018487394957983194 0.5288512385365003 Bayes
0.012347090431004916 0.018487394957983194 0.5282226810839095 Bayes
0.012347090431004916 0.018823529411764704 0.5279302724732603 Bayes
0.01246141534240311 0.018823529411764704 0.5265001792734381 Bayes
0.01246141534240311 0.01915966386554622 0.5263190126293212 Bayes
0.012552875271521664 0.01915966386554622 0.5254285703739308 Bayes
0.012552875271521664 0.019495798319327733 0.5254192608989972 Bayes
0.012735795129758774 0.019495798319327733 0.5241742426054505 Bayes
0.012735795129758774 0.020168067226890758 0.5232316451415872 Bayes
0.012964444952555162 0.020168067226890758 0.521283587008974 Bayes
0.012964444952555162 0.020504201680672268 0.5212481124691837 Bayes
0.013124499828512633 0.020504201680672268 0.5197385785791757 Bayes
0.013124499828512633 0.020840336134453782 0.5195621141814017 Bayes
0.013147364810792272 0.020840336134453782 0.5191605891403628 Bayes
0.013147364810792272 0.021176470588235293 0.519107779505697 Bayes
0.013238824739910827 0.021176470588235293 0.518341422401832 Bayes
0.013238824739910827 0.021512605042016807 0.5181539224459536 Bayes
0.013604664456385047 0.021512605042016807 0.5147218451980469 Bayes
0.013604664456385047 0.021848739495798318 0.5147097595183354 Bayes
0.013833314279181434 0.021848739495798318 0.5127439886076136 Bayes
0.013833314279181434 0.022184873949579832 0.5127244276751414 Bayes
0.014016234137418544 0.022184873949579832 0.510996113841995 Bayes
0.014016234137418544 0.022521008403361343 0.5108524151915108 Bayes
0.014039099119698183 0.022521008403361343 0.5108123098416628 Bayes
0.014039099119698183 0.02319327731092437 0.5105430922728577 Bayes
0.01408482908425746 0.02319327731092437 0.5100242320219396 Bayes
0.01408482908425746 0.023529411764705882 0.509993244820495 Bayes
0.014199153995655654 0.023529411764705882 0.508265634313655 Bayes
0.014199153995655654 0.023865546218487396 0.508215098567625 Bayes
0.014267748942494569 0.023865546218487396 0.5078811156567252 Bayes
0.014267748942494569 0.024201680672268907 0.5078738274327795 Bayes
0.014382073853892762 0.024201680672268907 0.5063544574650581 Bayes
0.014382073853892762 0.02453781512605042 0.5062866467454069 Bayes
0.014450668800731679 0.02453781512605042 0.505273811279223 Bayes
0.014450668800731679 0.024873949579831932 0.5051734716646168 Bayes
0.014679318623528066 0.024873949579831932 0.5035986413277244 Bayes
0.014679318623528066 0.025210084033613446 0.5035810768441376 Bayes
0.014907968446324454 0.025210084033613446 0.5014470922485749 Bayes
0.014907968446324454 0.025546218487394957 0.501396468474888 Bayes
0.014953698410883731 0.025546218487394957 0.5011143007434519 Bayes
0.014953698410883731 0.02621848739495798 0.5008825784705518 Bayes
0.015045158340002286 0.02621848739495798 0.5000177015675231 Bayes
0.015045158340002286 0.026554621848739496 0.499890942476326 Bayes
0.015113753286841202 0.026554621848739496 0.49933072534224565 Bayes
0.015113753286841202 0.02689075630252101 0.4993249063246753 Bayes
0.01515948325140048 0.02689075630252101 0.4986528860784842 Bayes
0.01515948325140048 0.02722689075630252 0.4985653137608425 Bayes
0.015182348233680119 0.02722689075630252 0.49836727874316067 Bayes
0.015182348233680119 0.02857142857142857 0.4973316154614899 Bayes
0.015228078198239396 0.02857142857142857 0.4970400717195417 Bayes
0.015228078198239396 0.028907563025210085 0.4967623791383374 Bayes
0.015388133074196867 0.028907563025210085 0.4949488024164989 Bayes
0.015388133074196867 0.029243697478991595 0.49471483972155333 Bayes
0.015433863038756145 0.029243697478991595 0.4942314660131722 Bayes
0.015433863038756145 0.02957983193277311 0.494191602575893 Bayes
0.015456728021035784 0.02957983193277311 0.4939408234663101 Bayes
0.015456728021035784 0.030252100840336135 0.49356049234363986 Bayes
0.01568537784383217 0.030252100840336135 0.49220315490728894 Bayes
0.01568537784383217 0.03058823529411765 0.49212108558370704 Bayes
0.015753972790671086 0.03058823529411765 0.4917552528170558 Bayes
0.015753972790671086 0.031932773109243695 0.4908306662592079 Bayes
0.015799702755230363 0.031932773109243695 0.49033596539649743 Bayes
0.015799702755230363 0.03226890756302521 0.48999268749917185 Bayes
0.015822567737510004 0.03226890756302521 0.4895866530081437 Bayes
0.015822567737510004 0.03260504201680672 0.4895350671539821 Bayes
0.015959757631187836 0.03260504201680672 0.488367955128328 Bayes
0.015959757631187836 0.03294117647058824 0.4878852613686329 Bayes
0.01602835257802675 0.03294117647058824 0.486690133000323 Bayes
0.01602835257802675 0.033277310924369745 0.4863383931028565 Bayes
0.016074082542586028 0.033277310924369745 0.4859184752997218 Bayes
0.016074082542586028 0.03361344537815126 0.48563313360071236 Bayes
0.01621127243626386 0.03361344537815126 0.4842310662940707 Bayes
0.01621127243626386 0.03394957983193277 0.4841476119085297 Bayes
0.0162341374185435 0.03394957983193277 0.4838298606581389 Bayes
0.0162341374185435 0.03428571428571429 0.48367836031882633 Bayes
0.01639419229450097 0.03428571428571429 0.4824330915381303 Bayes
0.01639419229450097 0.0346218487394958 0.48238662416940414 Bayes
0.016485652223619526 0.0346218487394958 0.48048421434487976 Bayes
0.016485652223619526 0.03495798319327731 0.48043229493565387 Bayes
0.016531382188178803 0.03495798319327731 0.4800377122619872 Bayes
0.016531382188178803 0.03529411764705882 0.47985148807657957 Bayes
0.01657711215273808 0.03529411764705882 0.47962977668501794 Bayes
0.01657711215273808 0.03563025210084034 0.4794302193206488 Bayes
0.016645707099577 0.03563025210084034 0.47839854931139353 Bayes
0.016645707099577 0.03596638655462185 0.47808070983127054 Bayes
0.016691437064136276 0.03596638655462185 0.47770563814205336 Bayes
0.016691437064136276 0.03630252100840336 0.4775802474289396 Bayes
0.01676003201097519 0.03630252100840336 0.47709923708833096 Bayes
0.01676003201097519 0.03663865546218487 0.4766533491453333 Bayes
0.01678289699325483 0.03663865546218487 0.4766476320286402 Bayes
0.01678289699325483 0.03697478991596639 0.47626844844087474 Bayes
0.016897221904653023 0.03697478991596639 0.47585388626948794 Bayes
0.016897221904653023 0.0373109243697479 0.47582424932912964 Bayes
0.017400251514805076 0.0373109243697479 0.4721710070888326 Bayes
0.017400251514805076 0.03764705882352941 0.4721393060263417 Bayes
0.017445981479364353 0.03764705882352941 0.47142130075581995 Bayes
0.017445981479364353 0.03798319327731092 0.47138834156162923 Bayes
0.01749171144392363 0.03798319327731092 0.4710187612001108 Bayes
0.01749171144392363 0.03831932773109244 0.4709654349475297 Bayes
0.01751457642620327 0.03831932773109244 0.4705664104302613 Bayes
0.01751457642620327 0.038991596638655465 0.4704447538622383 Bayes
0.017628901337601463 0.038991596638655465 0.46935600557589013 Bayes
0.017628901337601463 0.03932773109243697 0.4692197780209423 Bayes
0.017651766319881104 0.03932773109243697 0.46921802079863995 Bayes
0.017651766319881104 0.03966386554621849 0.46915890727074 Bayes
0.01767463130216074 0.03966386554621849 0.4690772570005393 Bayes
0.01767463130216074 0.04 0.46904785918509884 Bayes
0.01769749628444038 0.04 0.4688097868065232 Bayes
0.01769749628444038 0.04067226890756302 0.4685107237111781 Bayes
0.017766091231279296 0.04067226890756302 0.46814634614443157 Bayes
0.017766091231279296 0.04134453781512605 0.4678018610937978 Bayes
0.017834686178118214 0.04134453781512605 0.467649837723205 Bayes
0.017834686178118214 0.041680672268907565 0.46735805675880143 Bayes
0.017949011089516406 0.041680672268907565 0.4669787344276706 Bayes
0.017949011089516406 0.0426890756302521 0.46684175270375294 Bayes
0.017971876071796046 0.0426890756302521 0.46652079710554284 Bayes
0.017971876071796046 0.043025210084033615 0.46625004906804923 Bayes
0.01804047101863496 0.043025210084033615 0.465189431079693 Bayes
0.01804047101863496 0.04336134453781513 0.46502041800485105 Bayes
0.0180633360009146 0.04336134453781513 0.4649923353536288 Bayes
0.0180633360009146 0.043697478991596636 0.46493105669256535 Bayes
0.018177660912312793 0.043697478991596636 0.46424282051277455 Bayes
0.018177660912312793 0.044369747899159664 0.46353153624412163 Bayes
0.01840631073510918 0.044369747899159664 0.46169333221202324 Bayes
0.01840631073510918 0.04470588235294118 0.461549076689606 Bayes
0.018497770664227735 0.04470588235294118 0.4604393973104786 Bayes
0.018497770664227735 0.0453781512605042 0.459950094982434 Bayes
0.01858923059334629 0.0453781512605042 0.4590358839405912 Bayes
0.01858923059334629 0.04605042016806723 0.45869259078070806 Bayes
0.018657825540185205 0.04605042016806723 0.4586553360343022 Bayes
0.018657825540185205 0.04672268907563025 0.45842280578856104 Bayes
0.018726420487024123 0.04672268907563025 0.45732531292996226 Bayes
0.018726420487024123 0.047058823529411764 0.45717828431244284 Bayes
0.018795015433863037 0.047058823529411764 0.45678749736202356 Bayes
0.018795015433863037 0.04739495798319328 0.45673166418943273 Bayes
0.019183720132616898 0.04739495798319328 0.45418469494501656 Bayes
0.019183720132616898 0.04773109243697479 0.45414216756413 Bayes
0.019275180061735453 0.04773109243697479 0.45354451280372526 Bayes
0.019275180061735453 0.0480672268907563 0.4534446665003625 Bayes
