Method J J_threshold MCC OV
16 0.2823624587269131 0.0354568712561908 0.14341579993844147 0.569
24 0.3538044262183402 0.0488022880089832 0.17489098351543442 0.483
32 0.4095736726196686 0.0447273894553976 0.2026065387618847 0.424
40 0.46983703743711036 0.0575505979617267 0.236230831468829 0.372
48 0.47874522537203124 0.0637268928814883 0.24357772693425123 0.355
8 0.17384136312497356 0.0351456394387186 0.09322950483702047 0.687
Ellipro 0.3702378567139022 0.665 0.2022135647671456 0.466
Discotope 0.20951427140711054 -13.547 0.14426754496367244 0.649
